time,bitcoins
2010/8/8 0:00,3652700
2010/8/10 0:00,3672500
2010/8/12 0:00,3694250
2010/8/14 0:00,3718150
2010/8/16 0:00,3737700
2010/8/18 0:00,3750900
2010/8/20 0:00,3766250
2010/8/22 0:00,3785400
2010/8/24 0:00,3806500
2010/8/26 0:00,3828250
2010/8/28 0:00,3846100
2010/8/30 0:00,3861450
2010/9/1 0:00,3879000
2010/9/3 0:00,3894550
2010/9/5 0:00,3911600
2010/9/7 0:00,3927600
2010/9/9 0:00,3942750
2010/9/11 0:00,3959400
2010/9/13 0:00,3976750
2010/9/15 0:00,3995900
2010/9/17 0:00,4016200
2010/9/19 0:00,4038550
2010/9/21 0:00,4057950
2010/9/23 0:00,4077200
2010/9/25 0:00,4099600
2010/9/27 0:00,4121350
2010/9/29 0:00,4141000
2010/10/1 0:00,4155850
2010/10/3 0:00,4167350
2010/10/5 0:00,4181200
2010/10/7 0:00,4197450
2010/10/9 0:00,4212850
2010/10/11 0:00,4229700
2010/10/13 0:00,4246150
2010/10/15 0:00,4265000
2010/10/17 0:00,4291050
2010/10/19 0:00,4316250
2010/10/21 0:00,4339600
2010/10/23 0:00,4355950
2010/10/25 0:00,4375900
2010/10/27 0:00,4398600
2010/10/29 0:00,4421100
2010/10/31 0:00,4442200
2010/11/2 0:00,4460000
2010/11/4 0:00,4479600
2010/11/6 0:00,4500650
2010/11/8 0:00,4526100
2010/11/10 0:00,4547750
2010/11/12 0:00,4567900
2010/11/14 0:00,4590750
2010/11/16 0:00,4610850
2010/11/18 0:00,4636500
2010/11/20 0:00,4650550
2010/11/22 0:00,4665300
2010/11/24 0:00,4681750
2010/11/26 0:00,4699500
2010/11/28 0:00,4716950
2010/11/30 0:00,4738050
2010/12/2 0:00,4756550
2010/12/4 0:00,4777100
2010/12/6 0:00,4801000
2010/12/8 0:00,4824200
2010/12/10 0:00,4844200
2010/12/12 0:00,4861500
2010/12/14 0:00,4877250
2010/12/16 0:00,4895500
2010/12/18 0:00,4912050
2010/12/20 0:00,4929200
2010/12/22 0:00,4946950
2010/12/24 0:00,4961600
2010/12/26 0:00,4977050
2010/12/28 0:00,4993550
2010/12/30 0:00,5010150
2011/1/1 0:00,5027250
2011/1/3 0:00,5044450
2011/1/5 0:00,5059050
2011/1/7 0:00,5073600
2011/1/9 0:00,5090800
2011/1/11 0:00,5107250
2011/1/13 0:00,5124850
2011/1/15 0:00,5142150
2011/1/17 0:00,5159450
2011/1/19 0:00,5176100
2011/1/21 0:00,5193400
2011/1/23 0:00,5210100
2011/1/25 0:00,5226900
2011/1/27 0:00,5244650
2011/1/29 0:00,5260300
2011/1/31 0:00,5276000
2011/2/2 0:00,5293050
2011/2/4 0:00,5310000
2011/2/6 0:00,5327900
2011/2/8 0:00,5346800
2011/2/10 0:00,5365400
2011/2/12 0:00,5384450
2011/2/14 0:00,5403950
2011/2/16 0:00,5426100
2011/2/18 0:00,5448900
2011/2/20 0:00,5467100
2011/2/22 0:00,5487000
2011/2/24 0:00,5509850
2011/2/26 0:00,5533500
2011/2/28 0:00,5555400
2011/3/2 0:00,5570350
2011/3/4 0:00,5589450
2011/3/6 0:00,5616200
2011/3/8 0:00,5637600
2011/3/10 0:00,5651450
2011/3/12 0:00,5665050
2011/3/14 0:00,5676850
2011/3/16 0:00,5689000
2011/3/18 0:00,5702450
2011/3/20 0:00,5714150
2011/3/22 0:00,5728200
2011/3/24 0:00,5743200
2011/3/26 0:00,5758350
2011/3/28 0:00,5774150
2011/3/30 0:00,5789650
2011/4/1 0:00,5808500
2011/4/3 0:00,5826300
2011/4/5 0:00,5845400
2011/4/7 0:00,5860450
2011/4/9 0:00,5876200
2011/4/11 0:00,5892300
2011/4/13 0:00,5910700
2011/4/15 0:00,5925600
2011/4/17 0:00,5942850
2011/4/19 0:00,5957700
2011/4/21 0:00,5973150
2011/4/23 0:00,5990300
2011/4/25 0:00,6007600
2011/4/27 0:00,6026750
2011/4/29 0:00,6044800
2011/5/1 0:00,6063850
2011/5/3 0:00,6083100
2011/5/5 0:00,6103800
2011/5/7 0:00,6124700
2011/5/9 0:00,6147450
2011/5/11 0:00,6166800
2011/5/13 0:00,6185050
2011/5/15 0:00,6208850
2011/5/17 0:00,6233050
2011/5/19 0:00,6256250
2011/5/21 0:00,6278100
2011/5/23 0:00,6304650
2011/5/25 0:00,6334000
2011/5/27 0:00,6359800
